Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility,Attrition
4,13,61,91.03,94.4,4.5,78.19,42,3.7,18,0,0
3,10,91,83.36,78.45,4.7,71.39,46,4.5,15,1,0
0,1,100,65.39,99.5,4.4,80.2,51,3.5,7,0,0
3,4,100,82.9,79.83,4.3,71.51,43,5.0,9,1,0
4,13,80,90.9,89.92,3.7,78.03,51,3.1,29,0,0
1,7,53,72.43,82.52,5.0,70.93,35,4.7,4,0,1
4,3,59,76.14,79.21,4.9,93.45,49,3.2,16,0,1
2,5,98,94.8,93.79,5.0,83.05,53,3.3,9,0,0
4,0,83,80.59,76.16,4.5,97.62,37,3.7,23,0,0
1,9,70,73.82,91.44,4.5,84.12,51,4.2,18,0,0
4,3,75,60.73,90.2,3.4,91.53,35,4.8,3,0,0
1,9,73,82.23,78.43,4.0,92.26,44,4.7,12,0,0
1,9,100,92.09,90.13,3.5,86.27,40,3.2,1,0,0
4,3,95,66.64,94.68,4.2,92.61,50,4.3,17,1,0
0,2,60,67.86,75.87,4.1,78.95,38,3.4,5,0,1
2,6,81,63.41,83.64,3.6,80.15,48,3.9,1,0,0
1,11,94,62.67,78.64,4.3,73.62,45,3.2,15,0,0
2,5,65,62.14,81.18,3.8,79.31,41,4.3,29,0,1
3,10,50,73.31,79.96,4.7,70.72,42,4.7,27,0,1
1,11,94,68.65,81.06,4.0,98.48,51,4.4,18,1,0
2,5,70,66.04,79.06,4.9,92.33,48,3.0,30,0,0
0,2,74,74.74,86.4,4.7,75.16,40,4.3,13,0,0
4,0,75,63.95,80.49,4.1,82.45,42,3.2,4,0,0
4,0,83,64.87,79.25,3.4,84.48,54,3.7,6,0,0
2,14,81,82.16,94.82,4.9,87.0,36,3.0,9,0,0
0,1,52,91.38,76.3,4.2,90.17,49,3.7,19,0,1
3,12,66,72.15,89.63,3.7,79.63,49,4.6,30,0,0
0,8,68,80.43,90.09,4.8,84.64,51,3.9,12,0,0
0,8,90,82.5,80.84,4.1,90.53,49,4.6,1,1,0
4,13,77,70.93,94.01,4.2,96.69,53,4.1,8,0,0
3,12,52,89.09,95.21,3.8,74.09,55,4.0,13,0,0
2,5,95,63.18,98.11,4.7,98.39,36,3.3,30,0,0
1,11,97,73.85,89.07,4.1,98.64,53,3.2,1,0,0
0,8,68,92.79,77.28,4.1,96.44,51,4.4,3,0,1
1,9,86,94.22,92.13,3.8,94.42,45,4.7,17,1,0
3,10,70,64.1,85.82,4.9,79.79,53,3.4,11,0,0
1,11,96,76.86,78.28,4.5,98.51,41,3.5,23,0,0
3,10,82,65.76,95.83,3.2,88.84,55,4.0,28,0,0
2,14,88,62.97,81.47,3.8,74.39,36,3.4,3,0,0
2,5,73,91.15,90.92,4.7,85.23,52,4.8,19,0,0
1,9,66,94.05,83.04,3.8,85.8,46,4.2,17,0,1
2,5,73,94.97,96.7,3.5,81.31,39,3.8,7,0,0
1,9,97,79.07,86.59,3.1,90.24,39,4.2,27,1,0
4,3,89,77.14,99.3,4.9,84.05,38,3.4,15,0,0
0,1,97,76.97,95.4,3.5,70.93,48,4.2,15,1,0
2,6,64,84.34,97.17,3.3,92.24,46,4.9,26,0,0
0,8,75,74.44,87.56,4.2,85.01,50,3.5,27,0,0
1,7,65,64.87,90.97,3.2,86.54,50,4.6,17,0,0
0,2,50,92.85,75.92,3.1,95.35,52,3.8,6,0,1
2,5,69,71.13,96.81,4.8,75.48,48,4.8,5,0,0
4,0,51,79.04,76.3,3.5,87.92,53,3.5,8,0,1
3,10,55,71.99,98.29,4.9,97.9,37,3.6,25,0,0
1,7,56,75.28,76.55,4.3,95.42,41,3.1,30,0,1
1,7,62,75.99,83.45,5.0,94.67,39,4.9,14,0,1
1,9,69,89.6,77.11,4.9,89.4,45,4.9,16,0,1
0,8,100,86.58,75.08,3.6,70.37,50,4.0,3,0,0
4,0,99,70.02,79.34,3.4,96.43,38,3.4,14,0,0
3,4,52,66.63,91.34,3.2,99.5,43,4.8,8,0,0
0,1,87,81.62,75.18,3.9,87.27,46,4.2,4,1,0
0,8,69,60.63,90.4,4.3,89.77,51,3.9,17,0,0
0,2,60,87.52,97.52,3.9,70.66,51,4.6,8,0,0
3,10,66,73.3,82.1,3.8,81.2,38,4.4,2,0,1
4,0,65,93.11,84.62,4.3,91.25,39,3.7,13,0,1
3,12,77,73.74,88.29,3.3,99.22,42,4.1,13,0,0
3,4,86,79.1,98.03,4.0,99.26,52,4.1,22,1,0
